channel,name,clean_target
Y89,Myelope_276((3888))Y89,MPO
In113,Histone_126((3785))In113,H3
In115,SMA_174((3840))In115,SMA
Xe131,131Xe,Xe131
Xe134,134Xe,Xe134
Ba138,138Ba,Ba138
La139,Keratin_685((3971))La139,panCK
Pr141,GATA3_117((4174))Pr141,GATA3
Nd142,CD38_1719((3452))Nd142,CD38
Nd143,CD44_69((3967))Nd143,CD44
Nd144,TMEM173_2145((4040))Nd144,TMEM173
Nd145,4-1BB_3014((4176))Nd145,4-1BB
Nd146,CD68_77((2781))Nd146,CD68
Sm147,CD45RA_732((3964))Sm147,CD45RA
Nd148,VCAM1_1986((3332))Nd148,VCAM1
Sm149,CD20_36((3960))Sm149,CD20
Nd150,CD56 NC_2971((3965))Nd150,CD56
Eu151,IRF4 MU_2517((3970))Eu151,IRF4
Sm152,CD3_1841((3956))Sm152,CD3
Eu153,LAG-3_1817((3780))Eu153,LAG-3
Sm154,CD11c_2406((3796))Sm154,CD11c
Gd155,CD279(P_1715((1967))Gd155,CD279
Gd156,CD73_2193((3822))Gd156,CD73
Gd158,CD7_2258((3873))Gd158,CD7
Tb159,Granzym_2215((3766))Tb159,GranB
Gd160,CD274(B_2298((3885))Gd160,CD274
Dy161,EOMES T_2972((4177))Dy161,EOMES
Dy162,CD45RO_2014((3019))Dy162,CD45RO
Dy163,FOXP3_115((3893))Dy163,FOXP3
Dy164,CD278(I_1815((3891))Dy164,CD278
Ho165,CXCL13 _2316((2829))Ho165,CXCL13
Er166,CD8a_1718((2991))Er166,CD8a
Er167,GITR TN_2488((2859))Er167,GITR
Er168,Carboni_2443((3741))Er168,CA9
Tm169,CD134_748((1086))Tm169,CD134
Er170,RabbitI_338((3963))Er170,CD4
Yb171,Tbet_3106((3848))Yb171,Tbet
Yb172,CD31_487((3980))Yb172,CD31/vWF
Yb173,Tim-3_1734((4001))Yb173,Tim-3
Yb174,NKG2A_3031((3968))Yb174,NKG2A
Lu175,Granzym_3048((3875))Lu175,GranK
Yb176,cleaved_198((4002))Yb176,clCas/PARP
Ir191,191Ir,Ir191
Ir193,193Ir,Ir193
Pt194,Ki-67_142((3913))Pt194,Ki67
Pt196,Vimenti_655((3791))Pt196,Vim
